statement,label
2 is even,1
1 is even,0
0 is even,1
9 is even,0
4 is even,1
7 is even,0
0 is even,1
11 is even,0
4 is even,1
3 is even,0
10 is even,1
3 is even,0
4 is even,1
3 is even,0
2 is even,1
7 is even,0
4 is even,1
1 is even,0
0 is even,1
5 is even,0
10 is even,1
7 is even,0
6 is even,1
9 is even,0
10 is even,1
7 is even,0
6 is even,1
11 is even,0
6 is even,1
9 is even,0
10 is even,1
1 is even,0
8 is even,1
7 is even,0
10 is even,1
9 is even,0
2 is even,1
7 is even,0
6 is even,1
5 is even,0
2 is even,1
5 is even,0
8 is even,1
9 is even,0
6 is even,1
1 is even,0
4 is even,1
9 is even,0
6 is even,1
3 is even,0
8 is even,1
11 is even,0
8 is even,1
7 is even,0
2 is even,1
11 is even,0
10 is even,1
3 is even,0
2 is even,1
1 is even,0
2 is even,1
1 is even,0
6 is even,1
1 is even,0
10 is even,1
11 is even,0
6 is even,1
1 is even,0
8 is even,1
1 is even,0
10 is even,1
1 is even,0
4 is even,1
1 is even,0
10 is even,1
1 is even,0
6 is even,1
3 is even,0
6 is even,1
11 is even,0
4 is even,1
5 is even,0
2 is even,1
1 is even,0
6 is even,1
3 is even,0
0 is even,1
3 is even,0
4 is even,1
9 is even,0
10 is even,1
9 is even,0
8 is even,1
1 is even,0
4 is even,1
9 is even,0
4 is even,1
9 is even,0
6 is even,1
7 is even,0
8 is even,1
7 is even,0
6 is even,1
1 is even,0
4 is even,1
5 is even,0
6 is even,1
1 is even,0
10 is even,1
7 is even,0
10 is even,1
11 is even,0
6 is even,1
9 is even,0
8 is even,1
7 is even,0
8 is even,1
1 is even,0
6 is even,1
5 is even,0
10 is even,1
1 is even,0
8 is even,1
5 is even,0
4 is even,1
5 is even,0
6 is even,1
3 is even,0
0 is even,1
5 is even,0
10 is even,1
3 is even,0
4 is even,1
9 is even,0
4 is even,1
1 is even,0
4 is even,1
1 is even,0
10 is even,1
11 is even,0
2 is even,1
7 is even,0
8 is even,1
7 is even,0
4 is even,1
1 is even,0
2 is even,1
3 is even,0
8 is even,1
7 is even,0
0 is even,1
9 is even,0
6 is even,1
9 is even,0
4 is even,1
11 is even,0
4 is even,1
11 is even,0
2 is even,1
7 is even,0
0 is even,1
9 is even,0
4 is even,1
1 is even,0
10 is even,1
5 is even,0
0 is even,1
9 is even,0
8 is even,1
3 is even,0
2 is even,1
9 is even,0
4 is even,1
3 is even,0
4 is even,1
3 is even,0
8 is even,1
3 is even,0
10 is even,1
7 is even,0
6 is even,1
9 is even,0
6 is even,1
11 is even,0
6 is even,1
1 is even,0
8 is even,1
3 is even,0
2 is even,1
7 is even,0
4 is even,1
7 is even,0
0 is even,1
1 is even,0
4 is even,1
1 is even,0
4 is even,1
1 is even,0
0 is even,1
5 is even,0
2 is even,1
5 is even,0
6 is even,1
9 is even,0
6 is even,1
9 is even,0
8 is even,1
3 is even,0
2 is even,1
3 is even,0
0 is even,1
7 is even,0
10 is even,1
9 is even,0
6 is even,1
9 is even,0
10 is even,1
9 is even,0
6 is even,1
9 is even,0
4 is even,1
7 is even,0
8 is even,1
7 is even,0
2 is even,1
1 is even,0
8 is even,1
3 is even,0
4 is even,1
5 is even,0
8 is even,1
9 is even,0
10 is even,1
9 is even,0
2 is even,1
3 is even,0
8 is even,1
7 is even,0
4 is even,1
5 is even,0
0 is even,1
9 is even,0
10 is even,1
5 is even,0
6 is even,1
11 is even,0
10 is even,1
3 is even,0
6 is even,1
7 is even,0
6 is even,1
7 is even,0
6 is even,1
5 is even,0
6 is even,1
9 is even,0
6 is even,1
7 is even,0
6 is even,1
9 is even,0
4 is even,1
1 is even,0
10 is even,1
5 is even,0
4 is even,1
9 is even,0
8 is even,1
9 is even,0
2 is even,1
7 is even,0
6 is even,1
9 is even,0
4 is even,1
9 is even,0
2 is even,1
1 is even,0
6 is even,1
1 is even,0
2 is even,1
5 is even,0
8 is even,1
5 is even,0
0 is even,1
11 is even,0
10 is even,1
11 is even,0
2 is even,1
5 is even,0
2 is even,1
7 is even,0
6 is even,1
7 is even,0
2 is even,1
1 is even,0
10 is even,1
5 is even,0
6 is even,1
5 is even,0
2 is even,1
9 is even,0
6 is even,1
5 is even,0
2 is even,1
5 is even,0
6 is even,1
7 is even,0
6 is even,1
11 is even,0
4 is even,1
9 is even,0
2 is even,1
3 is even,0
2 is even,1
7 is even,0
10 is even,1
7 is even,0
8 is even,1
5 is even,0
10 is even,1
7 is even,0
8 is even,1
5 is even,0
4 is even,1
5 is even,0
6 is even,1
7 is even,0
4 is even,1
5 is even,0
8 is even,1
3 is even,0
6 is even,1
1 is even,0
6 is even,1
7 is even,0
4 is even,1
3 is even,0
2 is even,1
1 is even,0
6 is even,1
1 is even,0
4 is even,1
5 is even,0
8 is even,1
7 is even,0
8 is even,1
9 is even,0
10 is even,1
3 is even,0
8 is even,1
3 is even,0
8 is even,1
5 is even,0
4 is even,1
3 is even,0
6 is even,1
3 is even,0
4 is even,1
1 is even,0
10 is even,1
5 is even,0
8 is even,1
7 is even,0
0 is even,1
9 is even,0
4 is even,1
11 is even,0
4 is even,1
1 is even,0
10 is even,1
3 is even,0
4 is even,1
11 is even,0
4 is even,1
3 is even,0
2 is even,1
11 is even,0
10 is even,1
11 is even,0
4 is even,1
5 is even,0
8 is even,1
5 is even,0
2 is even,1
1 is even,0
4 is even,1
3 is even,0
0 is even,1
9 is even,0
0 is even,1
1 is even,0
0 is even,1
5 is even,0
4 is even,1
9 is even,0
4 is even,1
3 is even,0
6 is even,1
11 is even,0
6 is even,1
5 is even,0
8 is even,1
3 is even,0
2 is even,1
1 is even,0
4 is even,1
3 is even,0
0 is even,1
1 is even,0
8 is even,1
11 is even,0
6 is even,1
1 is even,0
8 is even,1
5 is even,0
6 is even,1
3 is even,0
8 is even,1
7 is even,0
2 is even,1
5 is even,0
2 is even,1
1 is even,0
2 is even,1
5 is even,0
4 is even,1
1 is even,0
8 is even,1
7 is even,0
0 is even,1
1 is even,0
8 is even,1
9 is even,0
2 is even,1
3 is even,0
0 is even,1
11 is even,0
4 is even,1
5 is even,0
8 is even,1
1 is even,0
2 is even,1
3 is even,0
6 is even,1
1 is even,0
10 is even,1
7 is even,0
6 is even,1
1 is even,0
4 is even,1
5 is even,0
4 is even,1
3 is even,0
10 is even,1
5 is even,0
2 is even,1
1 is even,0
10 is even,1
9 is even,0
0 is even,1
1 is even,0
6 is even,1
9 is even,0
10 is even,1
3 is even,0
4 is even,1
3 is even,0
10 is even,1
5 is even,0
10 is even,1
3 is even,0
6 is even,1
9 is even,0
6 is even,1
3 is even,0
2 is even,1
5 is even,0
6 is even,1
7 is even,0
2 is even,1
7 is even,0
2 is even,1
5 is even,0
10 is even,1
7 is even,0
4 is even,1
3 is even,0
2 is even,1
9 is even,0
6 is even,1
7 is even,0
8 is even,1
9 is even,0
10 is even,1
9 is even,0
6 is even,1
1 is even,0
8 is even,1
1 is even,0
8 is even,1
9 is even,0
8 is even,1
3 is even,0
2 is even,1
5 is even,0
8 is even,1
1 is even,0
6 is even,1
9 is even,0
8 is even,1
5 is even,0
8 is even,1
1 is even,0
2 is even,1
3 is even,0
2 is even,1
3 is even,0
2 is even,1
3 is even,0
6 is even,1
5 is even,0
10 is even,1
5 is even,0
6 is even,1
11 is even,0
8 is even,1
1 is even,0
2 is even,1
3 is even,0
8 is even,1
1 is even,0
0 is even,1
9 is even,0
6 is even,1
5 is even,0
0 is even,1
1 is even,0
0 is even,1
11 is even,0
4 is even,1
1 is even,0
0 is even,1
1 is even,0
4 is even,1
9 is even,0
4 is even,1
3 is even,0
2 is even,1
1 is even,0
4 is even,1
1 is even,0
2 is even,1
3 is even,0
8 is even,1
7 is even,0
8 is even,1
1 is even,0
2 is even,1
1 is even,0
10 is even,1
1 is even,0
2 is even,1
7 is even,0
8 is even,1
5 is even,0
4 is even,1
5 is even,0
4 is even,1
7 is even,0
8 is even,1
7 is even,0
6 is even,1
9 is even,0
8 is even,1
3 is even,0
6 is even,1
3 is even,0
8 is even,1
7 is even,0
2 is even,1
7 is even,0
8 is even,1
7 is even,0
8 is even,1
7 is even,0
8 is even,1
3 is even,0
4 is even,1
3 is even,0
6 is even,1
7 is even,0
10 is even,1
7 is even,0
10 is even,1
5 is even,0
2 is even,1
5 is even,0
10 is even,1
3 is even,0
4 is even,1
5 is even,0
6 is even,1
5 is even,0
10 is even,1
3 is even,0
6 is even,1
11 is even,0
2 is even,1
9 is even,0
4 is even,1
3 is even,0
2 is even,1
7 is even,0
8 is even,1
3 is even,0
2 is even,1
3 is even,0
4 is even,1
1 is even,0
6 is even,1
3 is even,0
6 is even,1
9 is even,0
6 is even,1
9 is even,0
2 is even,1
3 is even,0
4 is even,1
7 is even,0
2 is even,1
3 is even,0
8 is even,1
1 is even,0
4 is even,1
3 is even,0
10 is even,1
1 is even,0
10 is even,1
5 is even,0
10 is even,1
5 is even,0
2 is even,1
9 is even,0
6 is even,1
11 is even,0
2 is even,1
9 is even,0
6 is even,1
9 is even,0
8 is even,1
1 is even,0
0 is even,1
11 is even,0
2 is even,1
1 is even,0
4 is even,1
9 is even,0
4 is even,1
7 is even,0
8 is even,1
11 is even,0
6 is even,1
7 is even,0
6 is even,1
1 is even,0
0 is even,1
11 is even,0
2 is even,1
11 is even,0
4 is even,1
11 is even,0
8 is even,1
1 is even,0
0 is even,1
1 is even,0
4 is even,1
5 is even,0
10 is even,1
1 is even,0
4 is even,1
1 is even,0
2 is even,1
7 is even,0
8 is even,1
9 is even,0
0 is even,1
9 is even,0
4 is even,1
3 is even,0
2 is even,1
9 is even,0
6 is even,1
9 is even,0
10 is even,1
7 is even,0
10 is even,1
11 is even,0
2 is even,1
1 is even,0
10 is even,1
11 is even,0
4 is even,1
3 is even,0
2 is even,1
5 is even,0
6 is even,1
3 is even,0
8 is even,1
1 is even,0
6 is even,1
5 is even,0
10 is even,1
3 is even,0
0 is even,1
1 is even,0
0 is even,1
5 is even,0
6 is even,1
3 is even,0
2 is even,1
3 is even,0
10 is even,1
3 is even,0
0 is even,1
1 is even,0
2 is even,1
7 is even,0
2 is even,1
5 is even,0
8 is even,1
11 is even,0
10 is even,1
3 is even,0
10 is even,1
1 is even,0
2 is even,1
7 is even,0
10 is even,1
7 is even,0
10 is even,1
3 is even,0
10 is even,1
7 is even,0
2 is even,1
1 is even,0
2 is even,1
9 is even,0
0 is even,1
1 is even,0
8 is even,1
9 is even,0
10 is even,1
1 is even,0
4 is even,1
5 is even,0
2 is even,1
3 is even,0
8 is even,1
3 is even,0
8 is even,1
5 is even,0
8 is even,1
11 is even,0
8 is even,1
1 is even,0
8 is even,1
3 is even,0
6 is even,1
1 is even,0
8 is even,1
5 is even,0
4 is even,1
5 is even,0
10 is even,1
3 is even,0
4 is even,1
5 is even,0
4 is even,1
5 is even,0
2 is even,1
1 is even,0
2 is even,1
5 is even,0
0 is even,1
3 is even,0
8 is even,1
7 is even,0
6 is even,1
3 is even,0
10 is even,1
1 is even,0
6 is even,1
1 is even,0
4 is even,1
3 is even,0
10 is even,1
11 is even,0
2 is even,1
3 is even,0
2 is even,1
5 is even,0
6 is even,1
9 is even,0
10 is even,1
1 is even,0
10 is even,1
7 is even,0
2 is even,1
3 is even,0
2 is even,1
1 is even,0
2 is even,1
3 is even,0
10 is even,1
7 is even,0
4 is even,1
9 is even,0
6 is even,1
5 is even,0
6 is even,1
11 is even,0
6 is even,1
7 is even,0
4 is even,1
7 is even,0
2 is even,1
3 is even,0
6 is even,1
7 is even,0
4 is even,1
1 is even,0
2 is even,1
3 is even,0
4 is even,1
7 is even,0
8 is even,1
11 is even,0
2 is even,1
3 is even,0
4 is even,1
7 is even,0
10 is even,1
11 is even,0
2 is even,1
11 is even,0
8 is even,1
3 is even,0
8 is even,1
1 is even,0
10 is even,1
5 is even,0
10 is even,1
3 is even,0
10 is even,1
5 is even,0
6 is even,1
9 is even,0
2 is even,1
1 is even,0
4 is even,1
9 is even,0
6 is even,1
3 is even,0
2 is even,1
1 is even,0
8 is even,1
7 is even,0
2 is even,1
1 is even,0
4 is even,1
3 is even,0
8 is even,1
1 is even,0
6 is even,1
5 is even,0
4 is even,1
9 is even,0
10 is even,1
5 is even,0
10 is even,1
9 is even,0
10 is even,1
3 is even,0
8 is even,1
1 is even,0
2 is even,1
9 is even,0
4 is even,1
1 is even,0
10 is even,1
9 is even,0
2 is even,1
11 is even,0
2 is even,1
3 is even,0
8 is even,1
11 is even,0
2 is even,1
1 is even,0
2 is even,1
1 is even,0
6 is even,1
9 is even,0
4 is even,1
9 is even,0
4 is even,1
11 is even,0
4 is even,1
5 is even,0
4 is even,1
7 is even,0
2 is even,1
5 is even,0
10 is even,1
7 is even,0
4 is even,1
9 is even,0
8 is even,1
1 is even,0
8 is even,1
5 is even,0
8 is even,1
3 is even,0
4 is even,1
7 is even,0
6 is even,1
1 is even,0
4 is even,1
5 is even,0
10 is even,1
1 is even,0
6 is even,1
3 is even,0
8 is even,1
3 is even,0
4 is even,1
7 is even,0
6 is even,1
9 is even,0
2 is even,1
9 is even,0
4 is even,1
11 is even,0
6 is even,1
5 is even,0
6 is even,1
9 is even,0
6 is even,1
9 is even,0
2 is even,1
11 is even,0
4 is even,1
7 is even,0
0 is even,1
9 is even,0
6 is even,1
3 is even,0
4 is even,1
5 is even,0
0 is even,1
9 is even,0
4 is even,1
7 is even,0
6 is even,1
9 is even,0
4 is even,1
3 is even,0
4 is even,1
7 is even,0
10 is even,1
5 is even,0
8 is even,1
3 is even,0
6 is even,1
5 is even,0
2 is even,1
1 is even,0
0 is even,1
7 is even,0
10 is even,1
3 is even,0
0 is even,1
1 is even,0
0 is even,1
5 is even,0
8 is even,1
11 is even,0
2 is even,1
1 is even,0
10 is even,1
9 is even,0
0 is even,1
9 is even,0
10 is even,1
5 is even,0
8 is even,1
3 is even,0
10 is even,1
5 is even,0
6 is even,1
5 is even,0
2 is even,1
3 is even,0
0 is even,1
11 is even,0
4 is even,1
11 is even,0
8 is even,1
5 is even,0
0 is even,1
3 is even,0
10 is even,1
3 is even,0
6 is even,1
9 is even,0
0 is even,1
9 is even,0
8 is even,1
7 is even,0
8 is even,1
9 is even,0
4 is even,1
9 is even,0
4 is even,1
7 is even,0
4 is even,1
3 is even,0
8 is even,1
1 is even,0
2 is even,1
5 is even,0
10 is even,1
9 is even,0
10 is even,1
9 is even,0
6 is even,1
11 is even,0
10 is even,1
9 is even,0
8 is even,1
3 is even,0
6 is even,1
7 is even,0
4 is even,1
9 is even,0
10 is even,1
7 is even,0
6 is even,1
7 is even,0
2 is even,1
1 is even,0
2 is even,1
1 is even,0
0 is even,1
5 is even,0
6 is even,1
7 is even,0
2 is even,1
5 is even,0
10 is even,1
9 is even,0
8 is even,1
3 is even,0
10 is even,1
9 is even,0
4 is even,1
1 is even,0
0 is even,1
1 is even,0
10 is even,1
9 is even,0
10 is even,1
3 is even,0
10 is even,1
9 is even,0
2 is even,1
7 is even,0
6 is even,1
9 is even,0
2 is even,1
9 is even,0
2 is even,1
5 is even,0
8 is even,1
3 is even,0
6 is even,1
1 is even,0
8 is even,1
3 is even,0
10 is even,1
7 is even,0
4 is even,1
9 is even,0
6 is even,1
11 is even,0
8 is even,1
3 is even,0
4 is even,1
1 is even,0
10 is even,1
11 is even,0
2 is even,1
9 is even,0
10 is even,1
1 is even,0
2 is even,1
11 is even,0
4 is even,1
5 is even,0
2 is even,1
7 is even,0
0 is even,1
9 is even,0
2 is even,1
3 is even,0
4 is even,1
9 is even,0
2 is even,1
7 is even,0
0 is even,1
7 is even,0
4 is even,1
3 is even,0
2 is even,1
5 is even,0
2 is even,1
9 is even,0
10 is even,1
5 is even,0
4 is even,1
3 is even,0
6 is even,1
5 is even,0
8 is even,1
7 is even,0
8 is even,1
3 is even,0
8 is even,1
11 is even,0
2 is even,1
9 is even,0
8 is even,1
11 is even,0
0 is even,1
11 is even,0
6 is even,1
5 is even,0
0 is even,1
3 is even,0
4 is even,1
7 is even,0
8 is even,1
11 is even,0
10 is even,1
11 is even,0
10 is even,1
11 is even,0
2 is even,1
3 is even,0
10 is even,1
5 is even,0
8 is even,1
9 is even,0
6 is even,1
1 is even,0
10 is even,1
5 is even,0
4 is even,1
9 is even,0
10 is even,1
7 is even,0
6 is even,1
1 is even,0
8 is even,1
7 is even,0
10 is even,1
7 is even,0
8 is even,1
1 is even,0
8 is even,1
5 is even,0
2 is even,1
5 is even,0
4 is even,1
7 is even,0
10 is even,1
11 is even,0
2 is even,1
3 is even,0
8 is even,1
1 is even,0
0 is even,1
3 is even,0
4 is even,1
5 is even,0
6 is even,1
3 is even,0
2 is even,1
7 is even,0
6 is even,1
11 is even,0
4 is even,1
1 is even,0
0 is even,1
5 is even,0
2 is even,1
11 is even,0
6 is even,1
7 is even,0
6 is even,1
7 is even,0
6 is even,1
5 is even,0
2 is even,1
7 is even,0
6 is even,1
7 is even,0
2 is even,1
1 is even,0
4 is even,1
9 is even,0
0 is even,1
1 is even,0
10 is even,1
11 is even,0
2 is even,1
7 is even,0
8 is even,1
5 is even,0
4 is even,1
3 is even,0
6 is even,1
11 is even,0
2 is even,1
3 is even,0
8 is even,1
7 is even,0
10 is even,1
7 is even,0
10 is even,1
3 is even,0
6 is even,1
9 is even,0
8 is even,1
9 is even,0
8 is even,1
7 is even,0
8 is even,1
5 is even,0
6 is even,1
7 is even,0
10 is even,1
9 is even,0
4 is even,1
1 is even,0
2 is even,1
9 is even,0
6 is even,1
5 is even,0
8 is even,1
7 is even,0
10 is even,1
7 is even,0
8 is even,1
7 is even,0
10 is even,1
9 is even,0
6 is even,1
11 is even,0
8 is even,1
9 is even,0
6 is even,1
9 is even,0
10 is even,1
3 is even,0
2 is even,1
7 is even,0
4 is even,1
5 is even,0
8 is even,1
9 is even,0
4 is even,1
11 is even,0
6 is even,1
3 is even,0
8 is even,1
5 is even,0
10 is even,1
3 is even,0
6 is even,1
3 is even,0
2 is even,1
1 is even,0
10 is even,1
1 is even,0
4 is even,1
7 is even,0
10 is even,1
1 is even,0
4 is even,1
5 is even,0
0 is even,1
5 is even,0
2 is even,1
7 is even,0
2 is even,1
11 is even,0
2 is even,1
5 is even,0
2 is even,1
11 is even,0
4 is even,1
3 is even,0
4 is even,1
5 is even,0
2 is even,1
1 is even,0
10 is even,1
7 is even,0
10 is even,1
11 is even,0
2 is even,1
7 is even,0
6 is even,1
7 is even,0
8 is even,1
1 is even,0
4 is even,1
7 is even,0
2 is even,1
5 is even,0
4 is even,1
3 is even,0
4 is even,1
9 is even,0
2 is even,1
5 is even,0
8 is even,1
7 is even,0
8 is even,1
7 is even,0
8 is even,1
7 is even,0
8 is even,1
1 is even,0
10 is even,1
9 is even,0
2 is even,1
7 is even,0
10 is even,1
1 is even,0
2 is even,1
9 is even,0
2 is even,1
3 is even,0
0 is even,1
11 is even,0
8 is even,1
11 is even,0
10 is even,1
1 is even,0
10 is even,1
7 is even,0
8 is even,1
3 is even,0
4 is even,1
11 is even,0
10 is even,1
1 is even,0
10 is even,1
11 is even,0
10 is even,1
7 is even,0
8 is even,1
3 is even,0
0 is even,1
11 is even,0
2 is even,1
5 is even,0
0 is even,1
3 is even,0
6 is even,1
9 is even,0
2 is even,1
7 is even,0
2 is even,1
7 is even,0
10 is even,1
7 is even,0
8 is even,1
9 is even,0
6 is even,1
7 is even,0
6 is even,1
7 is even,0
8 is even,1
7 is even,0
4 is even,1
7 is even,0
8 is even,1
3 is even,0
4 is even,1
1 is even,0
8 is even,1
1 is even,0
8 is even,1
3 is even,0
2 is even,1
9 is even,0
8 is even,1
5 is even,0
2 is even,1
3 is even,0
4 is even,1
7 is even,0
4 is even,1
5 is even,0
10 is even,1
11 is even,0
8 is even,1
5 is even,0
8 is even,1
3 is even,0
2 is even,1
1 is even,0
6 is even,1
3 is even,0
4 is even,1
5 is even,0
4 is even,1
1 is even,0
10 is even,1
1 is even,0
2 is even,1
3 is even,0
2 is even,1
9 is even,0
10 is even,1
1 is even,0
8 is even,1
9 is even,0
6 is even,1
1 is even,0
10 is even,1
7 is even,0
10 is even,1
3 is even,0
8 is even,1
5 is even,0
0 is even,1
5 is even,0
6 is even,1
3 is even,0
10 is even,1
9 is even,0
8 is even,1
1 is even,0
10 is even,1
7 is even,0
10 is even,1
5 is even,0
2 is even,1
7 is even,0
0 is even,1
1 is even,0
4 is even,1
9 is even,0
10 is even,1
9 is even,0
10 is even,1
3 is even,0
8 is even,1
5 is even,0
4 is even,1
7 is even,0
8 is even,1
1 is even,0
0 is even,1
9 is even,0
10 is even,1
1 is even,0
8 is even,1
9 is even,0
2 is even,1
3 is even,0
10 is even,1
9 is even,0
0 is even,1
3 is even,0
8 is even,1
1 is even,0
10 is even,1
1 is even,0
6 is even,1
1 is even,0
8 is even,1
1 is even,0
8 is even,1
3 is even,0
4 is even,1
5 is even,0
2 is even,1
3 is even,0
2 is even,1
1 is even,0
6 is even,1
1 is even,0
8 is even,1
5 is even,0
0 is even,1
5 is even,0
4 is even,1
5 is even,0
4 is even,1
1 is even,0
6 is even,1
1 is even,0
8 is even,1
9 is even,0
2 is even,1
9 is even,0
6 is even,1
11 is even,0
4 is even,1
9 is even,0
2 is even,1
5 is even,0
4 is even,1
1 is even,0
0 is even,1
7 is even,0
10 is even,1
1 is even,0
2 is even,1
1 is even,0
2 is even,1
11 is even,0
10 is even,1
7 is even,0
4 is even,1
5 is even,0
8 is even,1
9 is even,0
8 is even,1
7 is even,0
2 is even,1
1 is even,0
6 is even,1
1 is even,0
2 is even,1
5 is even,0
6 is even,1
7 is even,0
4 is even,1
9 is even,0
8 is even,1
3 is even,0
6 is even,1
5 is even,0
8 is even,1
7 is even,0
4 is even,1
1 is even,0
8 is even,1
5 is even,0
2 is even,1
1 is even,0
6 is even,1
5 is even,0
6 is even,1
7 is even,0
6 is even,1
7 is even,0
6 is even,1
11 is even,0
2 is even,1
7 is even,0
2 is even,1
5 is even,0
2 is even,1
7 is even,0
6 is even,1
11 is even,0
2 is even,1
7 is even,0
10 is even,1
3 is even,0
10 is even,1
1 is even,0
8 is even,1
9 is even,0
10 is even,1
3 is even,0
6 is even,1
3 is even,0
8 is even,1
11 is even,0
4 is even,1
3 is even,0
10 is even,1
5 is even,0
10 is even,1
9 is even,0
10 is even,1
1 is even,0
0 is even,1
1 is even,0
6 is even,1
1 is even,0
8 is even,1
3 is even,0
6 is even,1
3 is even,0
4 is even,1
1 is even,0
2 is even,1
5 is even,0
2 is even,1
5 is even,0
2 is even,1
3 is even,0
0 is even,1
7 is even,0
4 is even,1
9 is even,0
10 is even,1
11 is even,0
8 is even,1
9 is even,0
6 is even,1
3 is even,0
10 is even,1
5 is even,0
0 is even,1
1 is even,0
8 is even,1
5 is even,0
8 is even,1
1 is even,0
4 is even,1
11 is even,0
10 is even,1
3 is even,0
2 is even,1
1 is even,0
2 is even,1
1 is even,0
6 is even,1
3 is even,0
6 is even,1
3 is even,0
6 is even,1
9 is even,0
8 is even,1
1 is even,0
4 is even,1
5 is even,0
6 is even,1
5 is even,0
10 is even,1
3 is even,0
4 is even,1
9 is even,0
8 is even,1
5 is even,0
8 is even,1
1 is even,0
2 is even,1
7 is even,0
2 is even,1
7 is even,0
2 is even,1
1 is even,0
4 is even,1
9 is even,0
2 is even,1
3 is even,0
10 is even,1
9 is even,0
6 is even,1
9 is even,0
4 is even,1
1 is even,0
6 is even,1
11 is even,0
10 is even,1
3 is even,0
4 is even,1
1 is even,0
8 is even,1
3 is even,0
10 is even,1
5 is even,0
4 is even,1
11 is even,0
2 is even,1
3 is even,0
10 is even,1
3 is even,0
4 is even,1
5 is even,0
8 is even,1
5 is even,0
2 is even,1
5 is even,0
10 is even,1
5 is even,0
6 is even,1
5 is even,0
6 is even,1
9 is even,0
10 is even,1
3 is even,0
8 is even,1
5 is even,0
4 is even,1
1 is even,0
4 is even,1
9 is even,0
8 is even,1
7 is even,0
8 is even,1
5 is even,0
0 is even,1
7 is even,0
0 is even,1
3 is even,0
8 is even,1
7 is even,0
8 is even,1
1 is even,0
0 is even,1
5 is even,0
8 is even,1
1 is even,0
10 is even,1
7 is even,0
6 is even,1
9 is even,0
0 is even,1
3 is even,0
6 is even,1
3 is even,0
4 is even,1
1 is even,0
6 is even,1
5 is even,0
2 is even,1
1 is even,0
2 is even,1
11 is even,0
10 is even,1
1 is even,0
4 is even,1
11 is even,0
8 is even,1
5 is even,0
0 is even,1
11 is even,0
2 is even,1
7 is even,0
6 is even,1
3 is even,0
8 is even,1
5 is even,0
2 is even,1
7 is even,0
0 is even,1
1 is even,0
10 is even,1
1 is even,0
6 is even,1
11 is even,0
6 is even,1
11 is even,0
6 is even,1
7 is even,0
6 is even,1
5 is even,0
8 is even,1
11 is even,0
8 is even,1
9 is even,0
10 is even,1
11 is even,0
4 is even,1
7 is even,0
6 is even,1
9 is even,0
0 is even,1
9 is even,0
0 is even,1
11 is even,0
4 is even,1
9 is even,0
6 is even,1
5 is even,0
10 is even,1
5 is even,0
10 is even,1
11 is even,0
6 is even,1
5 is even,0
10 is even,1
5 is even,0
10 is even,1
3 is even,0
2 is even,1
1 is even,0
0 is even,1
1 is even,0
10 is even,1
1 is even,0
0 is even,1
3 is even,0
6 is even,1
9 is even,0
10 is even,1
7 is even,0
6 is even,1
9 is even,0
8 is even,1
9 is even,0
0 is even,1
11 is even,0
6 is even,1
11 is even,0
2 is even,1
5 is even,0
4 is even,1
3 is even,0
8 is even,1
7 is even,0
4 is even,1
7 is even,0
10 is even,1
11 is even,0
10 is even,1
11 is even,0
4 is even,1
9 is even,0
4 is even,1
1 is even,0
10 is even,1
7 is even,0
4 is even,1
1 is even,0
8 is even,1
3 is even,0
10 is even,1
3 is even,0
2 is even,1
3 is even,0
4 is even,1
11 is even,0
6 is even,1
11 is even,0
4 is even,1
7 is even,0
8 is even,1
7 is even,0
4 is even,1
7 is even,0
2 is even,1
9 is even,0
4 is even,1
1 is even,0
8 is even,1
3 is even,0
10 is even,1
11 is even,0
8 is even,1
5 is even,0
0 is even,1
7 is even,0
2 is even,1
1 is even,0
4 is even,1
11 is even,0
6 is even,1
9 is even,0
4 is even,1
7 is even,0
4 is even,1
7 is even,0
4 is even,1
1 is even,0
2 is even,1
5 is even,0
10 is even,1
5 is even,0
2 is even,1
9 is even,0
2 is even,1
7 is even,0
6 is even,1
1 is even,0
6 is even,1
1 is even,0
10 is even,1
3 is even,0
2 is even,1
5 is even,0
8 is even,1
3 is even,0
6 is even,1
5 is even,0
10 is even,1
5 is even,0
4 is even,1
5 is even,0
6 is even,1
5 is even,0
8 is even,1
9 is even,0
2 is even,1
9 is even,0
10 is even,1
11 is even,0
8 is even,1
9 is even,0
2 is even,1
1 is even,0
2 is even,1
5 is even,0
8 is even,1
9 is even,0
4 is even,1
3 is even,0
2 is even,1
3 is even,0
2 is even,1
5 is even,0
10 is even,1
5 is even,0
6 is even,1
3 is even,0
6 is even,1
7 is even,0
10 is even,1
3 is even,0
6 is even,1
1 is even,0
10 is even,1
1 is even,0
4 is even,1
7 is even,0
4 is even,1
7 is even,0
2 is even,1
1 is even,0
4 is even,1
9 is even,0
6 is even,1
5 is even,0
4 is even,1
7 is even,0
2 is even,1
9 is even,0
10 is even,1
5 is even,0
10 is even,1
5 is even,0
0 is even,1
5 is even,0
6 is even,1
7 is even,0
8 is even,1
9 is even,0
0 is even,1
7 is even,0
4 is even,1
1 is even,0
10 is even,1
9 is even,0
8 is even,1
5 is even,0
2 is even,1
1 is even,0
2 is even,1
7 is even,0
4 is even,1
9 is even,0
0 is even,1
5 is even,0
4 is even,1
7 is even,0
6 is even,1
9 is even,0
4 is even,1
1 is even,0
8 is even,1
11 is even,0
2 is even,1
1 is even,0
4 is even,1
7 is even,0
2 is even,1
7 is even,0
0 is even,1
